iter	Passed	Remaining
0	2	291
1	5	269
2	6	218
3	8	199
4	9	185
5	11	174
6	12	162
7	14	161
8	15	155
9	17	153
10	18	148
11	19	145
12	22	147
13	23	143
14	25	141
15	26	141
16	28	138
17	30	138
18	31	135
19	33	132
20	34	129
21	35	127
22	37	126
23	39	125
24	41	124
25	42	121
26	44	119
27	45	117
28	47	116
29	49	115
30	51	114
31	52	111
32	53	109
33	55	107
34	57	106
35	58	103
36	60	102
37	61	100
38	63	98
39	64	96
40	66	95
41	66	92
42	68	90
43	69	88
44	72	88
45	73	86
46	75	84
47	77	83
48	78	81
49	80	80
50	81	78
51	83	77
52	85	75
53	87	74
54	88	72
55	90	70
56	92	69
57	93	67
58	95	66
59	96	64
60	98	63
61	100	61
62	101	59
63	103	58
64	105	56
65	110	56
66	111	55
67	113	53
68	116	52
69	117	50
70	119	48
71	121	47
72	122	45
73	124	43
74	126	42
75	127	40
76	129	38
77	131	36
78	132	35
79	134	33
80	136	32
81	138	30
82	140	28
83	141	27
84	143	25
85	145	23
86	147	21
87	148	20
88	150	18
89	152	16
90	154	15
91	155	13
92	157	11
93	159	10
94	161	8
95	162	6
96	164	5
97	165	3
98	167	1
99	169	0
